Date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto,Italia
2020-02-24,0,0,0,0,0,18,0,3,0,172,0,0,3,0,0,0,0,0,0,0,33,229
2020-02-25,0,0,1,0,0,26,0,3,1,240,0,0,3,0,0,3,2,0,0,0,43,322
2020-02-26,0,0,1,0,0,47,0,3,11,258,1,0,3,0,0,3,2,0,0,0,71,400
2020-02-27,1,0,1,0,3,97,0,3,19,403,3,0,2,1,0,4,2,0,0,0,111,650
2020-02-28,1,0,1,1,4,145,0,3,19,531,6,0,11,3,0,4,8,0,0,0,151,888
2020-02-29,2,0,1,1,13,217,0,6,42,615,11,0,11,3,0,4,11,0,0,0,191,1128
2020-03-01,5,0,1,1,17,285,6,6,25,984,25,0,49,3,0,9,13,0,2,0,263,1694
2020-03-02,5,0,1,1,17,335,9,7,22,1254,35,0,51,4,0,7,13,0,2,0,273,2036
2020-03-03,6,1,1,1,30,420,13,14,24,1520,61,3,56,6,1,7,19,4,8,0,307,2502
2020-03-04,7,1,1,1,31,544,18,30,26,1820,84,3,82,9,2,18,38,5,9,0,360,3089
2020-03-05,8,1,1,2,45,698,21,44,28,2251,124,7,108,14,2,18,61,7,9,2,407,3858
2020-03-06,9,3,4,4,57,870,31,54,32,2612,159,12,143,17,5,24,79,10,16,7,488,4636
2020-03-07,11,3,9,4,61,1010,42,76,51,3420,207,14,207,26,5,35,113,14,24,8,543,5883
2020-03-08,17,4,9,9,101,1180,57,87,78,4189,272,14,360,40,11,53,166,23,26,9,670,7375
2020-03-09,30,5,9,11,120,1386,93,102,109,5469,323,14,350,50,19,54,208,33,28,15,744,9172
2020-03-10,38,7,38,13,127,1533,116,116,141,5791,394,15,453,59,20,62,264,52,37,17,856,10149
2020-03-11,38,8,75,19,154,1739,126,150,194,7280,479,16,501,77,37,83,320,77,46,20,1023,12462
2020-03-12,84,8,104,33,179,1947,167,200,274,8725,592,16,580,104,39,115,364,107,64,27,1384,15113
2020-03-13,89,10,125,38,220,2263,257,277,345,9820,725,17,840,129,43,130,470,163,76,28,1595,17660
2020-03-14,112,10,173,60,272,2644,301,357,463,11685,899,17,873,166,47,156,630,206,107,42,1937,21157
2020-03-15,137,11,204,68,333,3093,347,436,559,13272,1133,17,1111,230,77,188,781,378,143,57,2172,24747
2020-03-16,176,12,241,89,400,3522,386,523,667,14649,1242,21,1516,230,107,213,866,378,164,105,2473,27980
2020-03-17,229,20,291,114,460,3931,394,607,778,16220,1371,25,1897,340,117,237,1053,385,197,136,2704,31506
2020-03-18,263,27,376,129,460,4525,462,724,887,17713,1568,28,2341,383,134,282,1330,455,247,165,3214,35713
2020-03-19,385,37,436,169,652,5214,599,823,1059,19884,1737,46,2932,478,206,340,1482,523,334,215,3484,41035
2020-03-20,449,52,548,207,749,5968,656,1008,1221,22264,1981,50,3461,581,293,408,1793,642,395,264,4031,47021
2020-03-21,529,66,621,235,844,6705,790,1190,1436,25515,2153,61,3752,675,330,490,2012,782,462,313,4617,53578
2020-03-22,587,81,678,273,936,7555,874,1383,1665,27206,2421,66,4420,786,339,630,2277,954,521,364,5122,59138
2020-03-23,663,90,724,292,1026,8535,930,1540,1924,28761,2569,67,4861,906,359,721,2461,1023,577,393,5505,63927
2020-03-24,689,92,781,319,1101,9254,992,1728,2116,30703,2736,73,5515,1005,421,846,2699,1110,648,400,5948,69176
2020-03-25,813,113,858,351,1199,10054,1139,1901,2305,32346,2934,73,6024,1093,442,994,2972,1222,710,401,6442,74386
2020-03-26,946,134,906,393,1310,10816,1223,2096,2567,34889,3114,103,6534,1182,494,1164,3226,1297,802,408,6935,80539
2020-03-27,1017,151,1003,494,1454,11588,1317,2295,2696,37298,3196,109,7092,1334,530,1250,3450,1391,884,452,7497,86498
2020-03-28,1133,182,1109,555,1592,12383,1436,2505,2822,39415,3373,123,7671,1458,624,1359,3817,1505,969,511,7930,92472
2020-03-29,1293,202,1214,614,1759,13119,1480,2706,3076,41007,3558,127,8206,1549,638,1460,4122,1594,1023,584,8358,97689
2020-03-30,1345,214,1325,647,1952,13531,1501,2914,3217,42161,3684,134,8712,1712,682,1555,4412,1682,1051,584,8724,101739
2020-03-31,1401,226,1371,659,2092,14074,1593,3095,3416,43208,3825,144,9301,1803,722,1647,4608,1746,1078,628,9155,105792
2020-04-01,1436,237,1418,669,2231,14787,1685,3264,3660,44773,3962,160,9795,1946,745,1718,4867,1870,1095,631,9625,110574
2020-04-02,1497,246,1479,691,2456,15333,1799,3433,3782,46065,4098,165,10353,2077,794,1791,5273,2003,1128,668,10111,115242
