Date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto,Posti Occupati,Posti Disponibili
2020-02-24,0,0,0,0,0,2,0,1,0,19,0,0,0,0,0,0,0,0,0,0,4,26,5324
2020-02-25,0,0,0,0,0,2,0,1,0,25,0,0,0,0,0,0,0,0,0,0,7,35,5324
2020-02-26,0,0,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,8,36,5324
2020-02-27,0,0,0,0,0,6,0,0,0,41,1,0,0,0,0,0,0,0,0,0,8,56,5324
2020-02-28,0,0,0,0,0,6,0,0,0,47,2,0,0,0,0,0,0,0,0,0,9,64,5324
2020-02-29,0,0,0,0,0,11,0,0,1,80,2,0,0,0,0,0,0,0,0,0,11,105,5324
2020-03-01,0,0,0,0,0,13,0,0,1,106,5,0,2,0,0,0,0,0,0,0,13,140,5324
2020-03-02,0,0,0,0,0,16,0,0,1,127,6,0,2,0,0,0,0,0,0,0,14,166,5324
2020-03-03,0,0,0,0,0,24,0,0,2,167,13,0,3,0,0,0,0,0,1,0,19,229,5324
2020-03-04,0,0,0,0,0,26,0,3,3,209,15,0,13,0,0,0,2,0,1,0,23,295,5324
2020-03-05,0,0,0,0,0,32,0,7,3,244,19,0,17,1,0,0,3,0,1,0,24,351,5324
2020-03-06,0,0,0,0,0,53,0,8,5,309,20,2,30,1,0,0,5,0,2,0,27,462,5324
2020-03-07,0,0,0,0,0,64,1,8,6,359,36,2,38,2,0,0,7,1,2,0,41,567,5324
2020-03-08,0,0,0,0,7,75,1,8,11,399,41,2,45,3,0,0,7,2,2,0,47,650,5324
2020-03-09,0,0,0,0,8,90,1,8,17,440,47,2,50,6,0,0,9,2,2,0,51,733,5324
2020-03-10,9,0,1,2,8,98,6,15,29,466,54,3,66,6,0,2,40,3,2,0,67,877,5324
2020-03-11,9,1,4,2,11,104,5,18,34,560,66,3,75,4,0,1,54,4,5,0,68,1028,5324
2020-03-12,12,1,4,2,11,112,10,20,36,605,76,3,97,2,0,5,59,5,8,0,85,1153,5324
2020-03-13,14,1,5,3,19,128,8,24,44,650,85,3,135,2,0,7,77,6,10,0,107,1328,5324
2020-03-14,14,2,7,4,17,152,11,25,62,732,93,3,150,6,0,11,87,12,11,0,119,1518,5324
2020-03-15,28,2,4,6,22,169,12,31,66,767,98,4,171,6,0,15,107,19,13,3,129,1672,5324
2020-03-16,37,2,11,7,22,197,19,31,73,823,110,5,186,6,0,20,107,19,15,5,156,1851,5324
2020-03-17,32,2,11,10,24,223,21,44,85,879,109,5,206,14,4,28,143,22,21,6,171,2060,5324
2020-03-18,41,2,18,11,24,247,27,44,100,924,119,6,227,30,7,29,160,22,21,3,195,2257,5324
2020-03-19,47,5,18,13,36,260,29,45,112,1006,141,6,257,31,9,36,178,30,21,9,209,2498,5324
2020-03-20,48,5,24,16,41,267,32,47,121,1050,138,6,280,31,15,42,189,34,24,9,236,2655,5324
2020-03-21,44,7,30,16,87,265,37,70,129,1093,141,6,301,33,16,48,202,39,29,15,249,2857,5324
2020-03-22,49,10,32,17,99,269,47,79,132,1142,138,7,308,37,16,55,215,46,35,21,255,3009,5324
2020-03-23,52,12,33,20,110,276,41,96,133,1183,148,7,343,45,18,60,238,46,42,20,281,3204,5324
2020-03-24,57,12,38,21,181,291,49,94,147,1194,149,7,360,57,19,60,244,49,43,20,304,3396,5324
2020-03-25,59,14,40,23,123,294,52,101,147,1236,148,7,381,64,19,80,251,65,44,25,316,3489,5324
2020-03-26,64,16,43,23,114,301,54,113,154,1263,166,8,408,76,20,68,259,66,46,24,326,3612,5324
2020-03-27,71,15,45,22,113,308,57,126,157,1292,162,9,431,82,19,75,274,66,46,24,338,3732,5324
2020-03-28,70,19,51,22,132,316,59,133,167,1319,166,9,439,98,22,71,277,72,44,26,344,3856,5324
2020-03-29,68,18,56,19,135,333,60,133,166,1328,168,9,443,99,23,71,275,75,46,26,355,3906,5324
2020-03-30,69,18,62,18,126,351,60,154,175,1330,167,8,452,106,24,75,279,78,47,26,356,3981,5324
2020-03-31,73,17,62,17,133,353,60,173,179,1324,169,8,452,105,28,72,293,80,43,26,356,4023,5324
2020-04-01,71,15,57,16,129,359,60,177,179,1342,168,8,453,107,27,72,297,76,45,27,350,4035,5324
2020-04-02,75,19,60,19,120,366,60,181,172,1351,164,8,453,118,24,73,295,78,47,25,345,4053,5324
2020-04-03,76,19,60,17,115,364,61,188,173,1381,158,8,452,123,24,73,288,80,48,25,335,4068,5324
2020-04-04,71,19,61,15,114,358,50,193,169,1326,153,6,450,153,24,74,286,81,44,23,324,3994,5324
2020-04-05,67,18,53,13,108,375,50,197,165,1317,151,6,444,159,25,76,276,80,45,23,329,3977,5324
2020-04-06,66,18,52,14,101,372,46,197,162,1343,140,5,438,97,26,74,279,79,46,21,322,3898,5324
2020-04-07,67,17,64,14,103,366,44,192,156,1305,139,5,432,93,26,73,263,78,41,17,297,3792,5324
2020-04-08,62,17,65,15,97,361,41,196,153,1257,133,4,423,90,31,65,260,77,41,20,285,3693,5324
