Date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto,Italia
2020-02-24,0,0,0,0,0,18,0,2,0,166,0,0,3,0,0,0,0,0,0,0,32,221
2020-02-25,0,0,1,0,0,26,0,2,1,231,0,0,3,0,0,3,2,0,0,0,42,311
2020-02-26,0,0,1,0,0,46,0,0,11,249,1,0,3,0,0,3,2,0,0,0,69,385
2020-02-27,1,0,1,0,3,96,0,0,19,349,3,0,2,1,0,2,2,0,0,0,109,588
2020-02-28,1,0,1,1,4,143,0,0,19,474,6,0,11,3,0,2,7,0,0,0,149,821
2020-02-29,2,0,1,1,13,213,0,3,38,552,11,0,11,3,0,2,10,0,0,0,189,1049
2020-03-01,5,0,1,1,17,277,6,3,21,887,25,0,49,3,0,7,12,0,2,0,261,1577
2020-03-02,5,0,1,1,17,324,9,4,18,1077,34,0,51,4,0,5,12,0,2,0,271,1835
2020-03-03,6,1,1,1,30,398,13,11,19,1326,59,3,56,6,1,5,18,4,8,0,297,2263
2020-03-04,7,1,1,1,31,516,18,27,21,1497,80,3,82,7,2,16,37,5,9,0,345,2706
2020-03-05,8,1,1,2,45,658,21,41,21,1777,120,7,106,12,2,16,60,7,9,2,380,3296
2020-03-06,9,3,4,4,57,816,28,50,24,2008,155,12,139,15,5,22,78,10,16,7,454,3916
2020-03-07,11,3,9,4,61,937,39,72,42,2742,201,14,202,23,5,33,112,14,24,8,505,5061
2020-03-08,17,4,9,9,100,1097,53,81,67,3372,265,14,355,36,11,51,165,23,26,9,623,6387
2020-03-09,30,5,9,9,119,1286,89,94,97,4490,313,14,337,46,19,52,206,33,28,15,694,7985
2020-03-10,37,7,38,11,126,1417,110,99,128,4427,381,15,436,55,20,60,260,50,37,17,783,8514
2020-03-11,37,8,75,17,149,1588,110,125,181,5763,461,16,480,71,37,81,314,74,44,19,940,10590
2020-03-12,78,8,103,32,174,1758,148,172,243,6896,570,16,554,98,39,111,352,102,62,26,1297,12839
2020-03-13,83,10,123,37,213,2011,236,242,304,7732,698,17,794,121,43,126,455,157,73,27,1453,14955
2020-03-14,106,10,170,59,243,2349,271,320,384,9059,863,17,814,156,47,150,614,199,103,41,1775,17750
2020-03-15,128,11,199,66,296,2741,316,396,493,10043,1087,17,1030,212,75,179,763,367,139,56,1989,20603
2020-03-16,165,12,235,87,363,3088,346,472,575,10861,1185,15,1405,212,105,203,841,367,159,103,2274,23073
2020-03-17,216,20,282,112,423,3404,347,550,661,12095,1302,19,1764,320,115,226,1024,368,192,134,2488,26062
2020-03-18,249,27,366,126,423,3915,416,650,744,12266,1476,21,2187,362,132,267,1291,436,241,162,2953,28710
2020-03-19,366,37,421,164,605,4506,522,741,883,13938,1622,38,2754,449,204,321,1422,491,328,209,3169,33190
2020-03-20,422,52,530,201,702,5089,555,912,1001,15420,1844,39,3244,551,288,379,1713,600,384,257,3677,37860
2020-03-21,494,66,600,225,793,5661,666,1086,1159,17370,1997,47,3506,642,321,458,1905,720,447,304,4214,42681
2020-03-22,539,81,648,260,866,6390,738,1272,1351,17885,2231,52,4127,748,327,596,2144,885,500,354,4644,46638
2020-03-23,605,89,688,280,929,7220,771,1414,1553,18910,2358,50,4529,862,343,681,2301,914,556,379,4986,50418
2020-03-24,622,91,699,304,992,7711,848,1545,1692,19868,2497,55,5124,940,395,799,2519,975,624,379,5351,54030
2020-03-25,738,112,748,333,1072,8256,911,1675,1826,20591,2639,53,5556,1023,412,936,2776,1058,686,375,5745,57521
2020-03-26,860,133,791,372,1169,8850,954,1835,2027,22189,2795,81,5950,1095,462,1095,2973,1094,770,378,6140,62013
2020-03-27,925,147,833,469,1292,9361,1027,2013,2060,23895,2850,86,6347,1236,496,1158,3170,1164,824,413,6648,66414
2020-03-28,1027,178,929,523,1407,9964,1120,2181,2086,24509,2999,98,6851,1358,569,1242,3511,1234,898,468,6913,70065
2020-03-29,1169,197,1034,577,1556,10535,1141,2362,2279,25392,3160,100,7268,1432,582,1330,3786,1293,897,539,7251,73880
2020-03-30,1169,208,1098,602,1739,10766,1109,2497,2383,25006,3251,107,7655,1585,622,1408,4050,1357,834,518,7564,75528
2020-03-31,1191,216,1142,606,1871,10953,1160,2642,2508,25124,3352,117,8082,1654,657,1492,4226,1389,851,552,7850,77635
2020-04-01,1211,225,1112,610,1976,11489,1206,2758,2645,25765,3456,131,8470,1756,675,1544,4432,1483,864,540,8224,80572
2020-04-02,1251,233,1160,627,2140,11859,1294,2879,2660,25876,3555,133,8799,1864,718,1606,4789,1587,885,556,8578,83049
2020-04-03,1301,247,1209,662,2352,12178,1324,3009,2746,26189,3631,144,9130,1949,744,1664,4909,1659,920,560,8861,85388
2020-04-04,1356,244,1201,662,2496,12523,1336,3106,2894,27220,3497,171,9693,1973,789,1726,5054,1753,927,560,9093,88274
2020-04-05,1420,254,1226,706,2621,12837,1363,3186,3093,28124,3578,187,10177,2022,815,1774,5185,1795,898,576,9409,91246
