Date,Prima Dose,Seconda Dose,Posti Occupati,Nuovi Positivi
2020-02-24,0,0,26,0
2020-02-25,0,0,35,0
2020-02-26,0,0,36,0
2020-02-27,0,0,56,0
2020-02-28,0,0,64,0
2020-02-29,0,0,105,0
2020-03-01,0,0,140,0
2020-03-02,0,0,166,0
2020-03-03,0,0,229,0
2020-03-04,0,0,295,0
2020-03-05,0,0,351,0
2020-03-06,0,0,462,0
2020-03-07,0,0,567,0
2020-03-08,0,0,650,0
2020-03-09,0,0,733,0
2020-03-10,0,0,877,0
2020-03-11,0,0,1028,0
2020-03-12,0,0,1153,0
2020-03-13,0,0,1328,0
2020-03-14,0,0,1518,0
2020-03-15,0,0,1672,0
2020-03-16,0,0,1851,0
2020-03-17,0,0,2060,0
2020-03-18,0,0,2257,0
2020-03-19,0,0,2498,0
2020-03-20,0,0,2655,0
2020-03-21,0,0,2857,0
2020-03-22,0,0,3009,0
2020-03-23,0,0,3204,0
2020-03-24,0,0,3396,0
2020-03-25,0,0,3489,0
2020-03-26,0,0,3612,0
2020-03-27,0,0,3732,0
2020-03-28,0,0,3856,0
2020-03-29,0,0,3906,0
2020-03-30,0,0,3981,0
2020-03-31,0,0,4023,0
2020-04-01,0,0,4035,0
2020-04-02,0,0,4053,0
2020-04-03,0,0,4068,0
2020-04-04,0,0,3994,0
2020-04-05,0,0,3977,0
2020-04-06,0,0,3898,0
2020-04-07,0,0,3792,0
2020-04-08,0,0,3693,0
2020-04-09,0,0,3605,0
2020-04-10,0,0,3497,0
2020-04-11,0,0,3381,0
2020-04-12,0,0,3343,0
2020-04-13,0,0,3260,0
2020-04-14,0,0,3186,0
2020-04-15,0,0,3079,0
2020-04-16,0,0,2936,0
2020-04-17,0,0,2812,0
2020-04-18,0,0,2733,0
2020-04-19,0,0,2635,0
2020-04-20,0,0,2573,0
2020-04-21,0,0,2471,0
2020-04-22,0,0,2384,0
2020-04-23,0,0,2267,0
2020-04-24,0,0,2173,0
2020-04-25,0,0,2102,0
2020-04-26,0,0,2009,0
2020-04-27,0,0,1956,0
2020-04-28,0,0,1863,0
2020-04-29,0,0,1795,0
2020-04-30,0,0,1694,0
2020-05-01,0,0,1578,0
2020-05-02,0,0,1539,0
2020-05-03,0,0,1501,0
2020-05-04,0,0,1479,0
2020-05-05,0,0,1427,0
2020-05-06,0,0,1333,0
2020-05-07,0,0,1311,0
2020-05-08,0,0,1168,0
2020-05-09,0,0,1034,0
2020-05-10,0,0,1027,0
2020-05-11,0,0,999,0
2020-05-12,0,0,952,0
2020-05-13,0,0,893,0
2020-05-14,0,0,855,0
2020-05-15,0,0,808,0
2020-05-16,0,0,775,0
2020-05-17,0,0,762,0
2020-05-18,0,0,749,0
2020-05-19,0,0,716,0
2020-05-20,0,0,676,0
2020-05-21,0,0,640,0
2020-05-22,0,0,595,0
2020-05-23,0,0,572,0
2020-05-24,0,0,553,0
2020-05-25,0,0,541,0
2020-05-26,0,0,521,0
2020-05-27,0,0,505,0
2020-05-28,0,0,489,0
2020-05-29,0,0,475,0
2020-05-30,0,0,450,0
2020-05-31,0,0,435,0
2020-06-01,0,0,424,0
2020-06-02,0,0,408,0
2020-06-03,0,0,353,0
2020-06-04,0,0,338,0
2020-06-05,0,0,316,0
2020-06-06,0,0,293,0
2020-06-07,0,0,287,0
2020-06-08,0,0,283,0
2020-06-09,0,0,263,0
2020-06-10,0,0,249,0
2020-06-11,0,0,236,0
2020-06-12,0,0,227,0
2020-06-13,0,0,220,0
2020-06-14,0,0,209,0
2020-06-15,0,0,207,0
2020-06-16,0,0,177,0
2020-06-17,0,0,163,0
2020-06-18,0,0,168,0
2020-06-19,0,0,161,0
2020-06-20,0,0,152,0
2020-06-21,0,0,148,0
2020-06-22,0,0,127,0
2020-06-23,0,0,115,0
2020-06-24,0,0,107,0
2020-06-25,0,0,103,0
2020-06-26,0,0,105,0
2020-06-27,0,0,97,0
2020-06-28,0,0,98,0
2020-06-29,0,0,96,0
2020-06-30,0,0,93,0
2020-07-01,0,0,87,0
2020-07-02,0,0,82,0
2020-07-03,0,0,79,0
2020-07-04,0,0,71,0
2020-07-05,0,0,74,0
2020-07-06,0,0,72,0
2020-07-07,0,0,70,0
2020-07-08,0,0,71,0
2020-07-09,0,0,69,0
2020-07-10,0,0,65,0
2020-07-11,0,0,67,0
2020-07-12,0,0,68,0
2020-07-13,0,0,65,0
2020-07-14,0,0,60,0
2020-07-15,0,0,57,0
2020-07-16,0,0,53,0
2020-07-17,0,0,50,0
2020-07-18,0,0,50,0
2020-07-19,0,0,49,0
2020-07-20,0,0,47,0
2020-07-21,0,0,49,0
2020-07-22,0,0,48,0
2020-07-23,0,0,49,0
2020-07-24,0,0,46,0
2020-07-25,0,0,41,0
2020-07-26,0,0,44,0
2020-07-27,0,0,45,0
2020-07-28,0,0,40,0
2020-07-29,0,0,38,0
2020-07-30,0,0,47,0
2020-07-31,0,0,41,0
2020-08-01,0,0,43,0
2020-08-02,0,0,42,0
2020-08-03,0,0,41,0
2020-08-04,0,0,41,0
2020-08-05,0,0,41,0
2020-08-06,0,0,42,0
2020-08-07,0,0,42,0
2020-08-08,0,0,43,0
2020-08-09,0,0,45,0
2020-08-10,0,0,46,0
2020-08-11,0,0,49,0
2020-08-12,0,0,53,0
2020-08-13,0,0,55,0
2020-08-14,0,0,56,0
2020-08-15,0,0,55,0
2020-08-16,0,0,56,0
2020-08-17,0,0,58,0
2020-08-18,0,0,58,0
2020-08-19,0,0,66,0
2020-08-20,0,0,68,0
2020-08-21,0,0,69,0
2020-08-22,0,0,64,0
2020-08-23,0,0,69,0
2020-08-24,0,0,65,0
2020-08-25,0,0,66,0
2020-08-26,0,0,69,0
2020-08-27,0,0,67,0
2020-08-28,0,0,74,0
2020-08-29,0,0,79,0
2020-08-30,0,0,86,0
2020-08-31,0,0,94,0
2020-09-01,0,0,107,0
2020-09-02,0,0,109,0
2020-09-03,0,0,120,0
2020-09-04,0,0,121,0
2020-09-05,0,0,121,0
2020-09-06,0,0,133,0
2020-09-07,0,0,142,0
2020-09-08,0,0,143,0
2020-09-09,0,0,150,0
2020-09-10,0,0,164,0
2020-09-11,0,0,175,0
2020-09-12,0,0,182,0
2020-09-13,0,0,187,0
2020-09-14,0,0,197,0
2020-09-15,0,0,201,0
2020-09-16,0,0,207,0
2020-09-17,0,0,212,0
2020-09-18,0,0,208,0
2020-09-19,0,0,215,0
2020-09-20,0,0,222,0
2020-09-21,0,0,232,0
2020-09-22,0,0,239,0
2020-09-23,0,0,244,0
2020-09-24,0,0,246,0
2020-09-25,0,0,244,0
2020-09-26,0,0,247,0
2020-09-27,0,0,254,0
2020-09-28,0,0,264,0
2020-09-29,0,0,271,0
2020-09-30,0,0,280,0
2020-10-01,0,0,291,0
2020-10-02,0,0,294,0
2020-10-03,0,0,297,0
2020-10-04,0,0,303,0
2020-10-05,0,0,323,0
2020-10-06,0,0,319,0
2020-10-07,0,0,337,0
2020-10-08,0,0,358,0
2020-10-09,0,0,387,0
2020-10-10,0,0,390,0
2020-10-11,0,0,420,0
2020-10-12,0,0,452,0
2020-10-13,0,0,514,0
2020-10-14,0,0,539,0
2020-10-15,0,0,586,0
2020-10-16,0,0,638,0
2020-10-17,0,0,705,0
2020-10-18,0,0,750,0
2020-10-19,0,0,797,0
2020-10-20,0,0,870,0
2020-10-21,0,0,926,0
2020-10-22,0,0,992,0
2020-10-23,0,0,1049,0
2020-10-24,0,0,1128,0
