Date,Prima Dose,Seconda Dose
2020-12-27,7219,0
2020-12-28,1435,0
2020-12-29,1024,0
2020-12-30,4750,0
2020-12-31,25481,0
2021-01-01,11006,0
2021-01-02,38469,0
2021-01-03,35177,0
2021-01-04,68764,0
2021-01-05,79473,0
2021-01-06,64814,0
2021-01-07,91820,0
2021-01-08,95187,0
2021-01-09,86670,0
2021-01-10,60074,0
2021-01-11,80965,0
2021-01-12,82110,0
2021-01-13,94344,0
2021-01-14,93587,0
2021-01-15,89804,0
2021-01-16,65000,0
2021-01-17,34158,2967
2021-01-18,38893,5041
2021-01-19,31281,1754
2021-01-20,26296,4543
2021-01-21,16050,19752
2021-01-22,12742,14006
2021-01-23,5940,33124
2021-01-24,3202,30665
2021-01-25,4786,64321
2021-01-26,4312,76056
2021-01-27,6176,64520
2021-01-28,4764,88773
2021-01-29,4659,93207
2021-01-30,4194,86060
2021-01-31,2615,56972
2021-02-01,4268,81282
2021-02-02,6347,81574
2021-02-03,9013,90625
2021-02-04,13346,94635
2021-02-05,17654,89288
2021-02-06,14437,62948
2021-02-07,9037,32685
2021-02-08,26470,39892
2021-02-09,34067,32303
2021-02-10,44352,27798
2021-02-11,54461,19416
2021-02-12,57880,15249
2021-02-13,45307,6726
2021-02-14,26969,2567
2021-02-15,55742,5999
2021-02-16,64059,6144
2021-02-17,69917,9502
2021-02-18,80936,7887
2021-02-19,85014,6431
2021-02-20,72865,4370
2021-02-21,48070,2217
2021-02-22,98957,5238
2021-02-23,99704,5362
2021-02-24,112691,7930
2021-02-25,114754,12107
2021-02-26,121578,14915
2021-02-27,113334,11874
2021-02-28,69258,8173
2021-03-01,109833,24406
2021-03-02,129483,30738
2021-03-03,143346,42079
2021-03-04,148652,47156
2021-03-05,151341,52249
2021-03-06,136508,39053
2021-03-07,81192,20067
2021-03-08,131796,47229
2021-03-09,143082,49255
2021-03-10,158033,54787
2021-03-11,161327,59407
2021-03-12,147918,60780
2021-03-13,125997,48340
2021-03-14,71065,33259
2021-03-15,102406,70174
2021-03-16,66748,72447
2021-03-17,83282,80909
2021-03-18,82529,79325
2021-03-19,95502,78458
2021-03-20,111799,61950
2021-03-21,83548,45198
2021-03-22,127272,65871
2021-03-23,151513,71298
2021-03-24,167413,85697
2021-03-25,181976,84267
2021-03-26,188885,78179
2021-03-27,169735,67103
2021-03-28,119867,40797
2021-03-29,173427,66049
2021-03-30,189198,75678
2021-03-31,210863,90640
2021-04-01,193169,89958
2021-04-02,199296,78996
2021-04-03,166475,60537
2021-04-04,74646,20347
2021-04-05,130957,37854
2021-04-06,204869,75928
2021-04-07,234179,87125
