Date,Prima Dose,Seconda Dose,Persone Vaccinabili
2020-12-27,7219,0,54009901
2020-12-28,8654,0,54009901
2020-12-29,9678,0,54009901
2020-12-30,14428,0,54009901
2020-12-31,39909,0,54009901
2021-01-01,50915,0,54009901
2021-01-02,89384,0,54009901
2021-01-03,124561,0,54009901
2021-01-04,193325,0,54009901
2021-01-05,272798,0,54009901
2021-01-06,337612,0,54009901
2021-01-07,429432,0,54009901
2021-01-08,524619,0,54009901
2021-01-09,611289,0,54009901
2021-01-10,671363,0,54009901
2021-01-11,752328,0,54009901
2021-01-12,834438,0,54009901
2021-01-13,928782,0,54009901
2021-01-14,1022369,0,54009901
2021-01-15,1112173,0,54009901
2021-01-16,1177173,0,54009901
2021-01-17,1211331,2967,54009901
2021-01-18,1250224,8008,54009901
2021-01-19,1281505,9762,54009901
2021-01-20,1307801,14305,54009901
2021-01-21,1323851,34057,54009901
2021-01-22,1336593,48063,54009901
2021-01-23,1342533,81187,54009901
2021-01-24,1345735,111852,54009901
2021-01-25,1350521,176173,54009901
2021-01-26,1354833,252229,54009901
2021-01-27,1361009,316749,54009901
2021-01-28,1365773,405522,54009901
2021-01-29,1370432,498729,54009901
2021-01-30,1374626,584789,54009901
2021-01-31,1377241,641761,54009901
2021-02-01,1381509,723043,54009901
2021-02-02,1387856,804617,54009901
2021-02-03,1396869,895242,54009901
2021-02-04,1410215,989877,54009901
2021-02-05,1427869,1079165,54009901
2021-02-06,1442306,1142113,54009901
2021-02-07,1451343,1174798,54009901
2021-02-08,1477813,1214690,54009901
2021-02-09,1511880,1246993,54009901
2021-02-10,1556232,1274791,54009901
2021-02-11,1610693,1294207,54009901
2021-02-12,1668573,1309456,54009901
2021-02-13,1713880,1316182,54009901
2021-02-14,1740849,1318749,54009901
2021-02-15,1796591,1324748,54009901
2021-02-16,1860650,1330892,54009901
2021-02-17,1930567,1340394,54009901
2021-02-18,2011503,1348281,54009901
2021-02-19,2096517,1354712,54009901
2021-02-20,2169382,1359082,54009901
2021-02-21,2217452,1361299,54009901
2021-02-22,2316409,1366537,54009901
2021-02-23,2416113,1371899,54009901
2021-02-24,2528804,1379829,54009901
2021-02-25,2643558,1391936,54009901
2021-02-26,2765136,1406851,54009901
2021-02-27,2878470,1418725,54009901
2021-02-28,2947728,1426898,54009901
2021-03-01,3057561,1451304,54009901
2021-03-02,3187044,1482042,54009901
2021-03-03,3330390,1524121,54009901
2021-03-04,3479042,1571277,54009901
2021-03-05,3630383,1623526,54009901
2021-03-06,3766891,1662579,54009901
2021-03-07,3848083,1682646,54009901
2021-03-08,3979879,1729875,54009901
2021-03-09,4122961,1779130,54009901
2021-03-10,4280994,1833917,54009901
2021-03-11,4442321,1893324,54009901
2021-03-12,4590239,1954104,54009901
2021-03-13,4716236,2002444,54009901
2021-03-14,4787301,2035703,54009901
2021-03-15,4889707,2105877,54009901
2021-03-16,4956455,2178324,54009901
2021-03-17,5039737,2259233,54009901
2021-03-18,5122266,2338558,54009901
2021-03-19,5217768,2417016,54009901
2021-03-20,5329567,2478966,54009901
2021-03-21,5413115,2524164,54009901
2021-03-22,5540387,2590035,54009901
2021-03-23,5691900,2661333,54009901
2021-03-24,5859313,2747030,54009901
2021-03-25,6041289,2831297,54009901
2021-03-26,6230174,2909476,54009901
2021-03-27,6399909,2976579,54009901
2021-03-28,6519776,3017376,54009901
2021-03-29,6693203,3083425,54009901
2021-03-30,6882401,3159103,54009901
2021-03-31,7093264,3249743,54009901
2021-04-01,7286433,3339701,54009901
2021-04-02,7485729,3418697,54009901
2021-04-03,7652204,3479234,54009901
2021-04-04,7726850,3499581,54009901
2021-04-05,7857807,3537435,54009901
2021-04-06,8062676,3613363,54009901
2021-04-07,8296855,3700488,54009901
2021-04-08,8539590,3788878,54009901
2021-04-09,8787059,3870468,54009901
2021-04-10,9034573,3939048,54009901
2021-04-11,9192150,3980276,54009901
2021-04-12,9393118,4042533,54009901
